,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folkemengden i Oslo per 1.jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I alt,0 år,1 år,2 år,3 år,4 år,5 år,6 år,7 år,8 år,9 år,10 år,11 år,12 år,13 år,14 år,15 år,16 år,17 år,18 år,19 år,20 år,21 år,22 år,23 år,24 år,25 år,26 år,27 år,28 år,29 år,30 år,31 år,32 år,33 år,34 år,35 år,36 år,37 år,38 år,39 år,40 år,41 år,42 år,43 år,44 år,45 år,46 år,47 år,48 år,49 år,50 år,51 år,52 år,53 år,54 år,55 år,56 år,57 år,58 år,59 år,60 år,61 år,62 år,63 år,64 år,65 år,66 år,67 år,68 år,69 år,70 år,71 år,72 år,73 år,74 år,75 år,76 år,77 år,78 år,79 år,80 år,81 år,82 år,83 år,84 år,85 år,86 år,87 år,88 år,89 år,90 år,91 år,92 år,93 år,94 år,95 år,96 år,97 år,98 år,99 år +
1990 i alt," 	458,364 "," 	6,751 "," 	5,998 "," 	5,343 "," 	4,901 "," 	4,583 "," 	4,260 "," 	4,020 "," 	4,116 "," 	3,952 "," 	3,865 "," 	3,912 "," 	3,805 "," 	3,686 "," 	3,821 "," 	3,845 "," 	4,212 "," 	4,126 "," 	4,466 "," 	4,726 "," 	5,078 "," 	5,819 "," 	6,579 "," 	7,205 "," 	8,184 "," 	8,693 "," 	9,289 "," 	9,434 "," 	9,601 "," 	9,572 "," 	9,332 "," 	9,010 "," 	8,581 "," 	8,240 "," 	7,749 "," 	7,506 "," 	7,124 "," 	6,875 "," 	6,653 "," 	6,354 "," 	6,290 "," 	6,316 "," 	6,616 "," 	6,858 "," 	7,374 "," 	6,378 "," 	6,409 "," 	5,507 "," 	4,919 "," 	4,167 "," 	4,403 "," 	4,404 "," 	4,099 "," 	4,014 "," 	3,785 "," 	3,618 "," 	3,618 "," 	3,773 "," 	4,001 "," 	4,257 "," 	4,456 "," 	4,258 "," 	4,303 "," 	4,179 "," 	4,640 "," 	4,644 "," 	5,037 "," 	5,159 "," 	5,168 "," 	5,179 "," 	5,567 "," 	4,565 "," 	4,627 "," 	4,609 "," 	4,252 "," 	4,245 "," 	4,151 "," 	4,033 "," 	3,773 "," 	3,563 "," 	3,293 "," 	3,208 "," 	2,777 "," 	2,590 "," 	2,282 "," 	2,005 "," 	1,774 "," 	1,658 "," 	1,444 "," 	1,196 ", 	950 , 	691 , 	609 , 	415 , 	332 , 	201 , 	184 , 	113 , 	67 , 	37 , 	58 
   Menn," 	215,518 "," 	3,427 "," 	3,116 "," 	2,696 "," 	2,486 "," 	2,398 "," 	2,175 "," 	2,104 "," 	2,071 "," 	2,044 "," 	2,004 "," 	1,957 "," 	1,970 "," 	1,953 "," 	1,954 "," 	1,938 "," 	2,080 "," 	2,119 "," 	2,281 "," 	2,349 "," 	2,496 "," 	2,696 "," 	3,020 "," 	3,218 "," 	3,720 "," 	3,997 "," 	4,315 "," 	4,520 "," 	4,713 "," 	4,780 "," 	4,772 "," 	4,646 "," 	4,328 "," 	4,204 "," 	3,992 "," 	3,903 "," 	3,655 "," 	3,552 "," 	3,432 "," 	3,284 "," 	3,210 "," 	3,307 "," 	3,515 "," 	3,522 "," 	3,884 "," 	3,206 "," 	3,332 "," 	2,852 "," 	2,491 "," 	2,121 "," 	2,195 "," 	2,203 "," 	2,006 "," 	1,932 "," 	1,847 "," 	1,670 "," 	1,694 "," 	1,832 "," 	1,947 "," 	2,039 "," 	2,036 "," 	1,974 "," 	2,005 "," 	1,970 "," 	2,090 "," 	2,011 "," 	2,288 "," 	2,280 "," 	2,247 "," 	2,201 "," 	2,261 "," 	1,895 "," 	1,813 "," 	1,835 "," 	1,593 "," 	1,548 "," 	1,564 "," 	1,371 "," 	1,309 "," 	1,232 "," 	1,024 "," 	1,006 ", 	804 , 	704 , 	602 , 	517 , 	429 , 	411 , 	324 , 	273 , 	193 , 	122 , 	141 , 	84 , 	56 , 	40 , 	38 , 	27 , 	13 , 	9 , 	8 
   Kvinner," 	242,846 "," 	3,324 "," 	2,882 "," 	2,647 "," 	2,415 "," 	2,185 "," 	2,085 "," 	1,916 "," 	2,045 "," 	1,908 "," 	1,861 "," 	1,955 "," 	1,835 "," 	1,733 "," 	1,867 "," 	1,907 "," 	2,132 "," 	2,007 "," 	2,185 "," 	2,377 "," 	2,582 "," 	3,123 "," 	3,559 "," 	3,987 "," 	4,464 "," 	4,696 "," 	4,974 "," 	4,914 "," 	4,888 "," 	4,792 "," 	4,560 "," 	4,364 "," 	4,253 "," 	4,036 "," 	3,757 "," 	3,603 "," 	3,469 "," 	3,323 "," 	3,221 "," 	3,070 "," 	3,080 "," 	3,009 "," 	3,101 "," 	3,336 "," 	3,490 "," 	3,172 "," 	3,077 "," 	2,655 "," 	2,428 "," 	2,046 "," 	2,208 "," 	2,201 "," 	2,093 "," 	2,082 "," 	1,938 "," 	1,948 "," 	1,924 "," 	1,941 "," 	2,054 "," 	2,218 "," 	2,420 "," 	2,284 "," 	2,298 "," 	2,209 "," 	2,550 "," 	2,633 "," 	2,749 "," 	2,879 "," 	2,921 "," 	2,978 "," 	3,306 "," 	2,670 "," 	2,814 "," 	2,774 "," 	2,659 "," 	2,697 "," 	2,587 "," 	2,662 "," 	2,464 "," 	2,331 "," 	2,269 "," 	2,202 "," 	1,973 "," 	1,886 "," 	1,680 "," 	1,488 "," 	1,345 "," 	1,247 "," 	1,120 ", 	923 , 	757 , 	569 , 	468 , 	331 , 	276 , 	161 , 	146 , 	86 , 	54 , 	28 , 	50 
1995 i alt," 	483,401 "," 	7,257 "," 	6,886 "," 	6,656 "," 	6,474 "," 	6,308 "," 	6,004 "," 	5,457 "," 	4,989 "," 	4,702 "," 	4,421 "," 	4,207 "," 	4,052 "," 	4,161 "," 	4,043 "," 	3,972 "," 	4,019 "," 	3,960 "," 	3,914 "," 	4,172 "," 	4,412 "," 	5,226 "," 	5,546 "," 	6,484 "," 	7,282 "," 	8,045 "," 	9,282 "," 	9,933 "," 	10,197 "," 	10,972 "," 	10,568 "," 	10,565 "," 	9,824 "," 	9,516 "," 	8,996 "," 	8,794 "," 	8,309 "," 	8,128 "," 	7,777 "," 	7,462 "," 	7,175 "," 	6,917 "," 	6,696 "," 	6,556 "," 	6,378 "," 	6,242 "," 	6,379 "," 	6,678 "," 	6,866 "," 	7,394 "," 	6,397 "," 	6,406 "," 	5,597 "," 	4,891 "," 	4,140 "," 	4,425 "," 	4,335 "," 	3,985 "," 	3,900 "," 	3,659 "," 	3,483 "," 	3,432 "," 	3,553 "," 	3,741 "," 	3,985 "," 	4,112 "," 	3,924 "," 	3,911 "," 	3,721 "," 	4,113 "," 	4,104 "," 	4,351 "," 	4,383 "," 	4,420 "," 	4,403 "," 	4,659 "," 	3,751 "," 	3,779 "," 	3,643 "," 	3,330 "," 	3,187 "," 	3,094 "," 	2,929 "," 	2,578 "," 	2,359 "," 	2,108 "," 	1,985 "," 	1,609 "," 	1,409 "," 	1,136 ", 	959 , 	785 , 	692 , 	542 , 	410 , 	276 , 	174 , 	125 , 	91 , 	67 , 	100 
   Menn," 	230,317 "," 	3,736 "," 	3,567 "," 	3,402 "," 	3,313 "," 	3,272 "," 	2,996 "," 	2,835 "," 	2,500 "," 	2,389 "," 	2,303 "," 	2,108 "," 	2,109 "," 	2,095 "," 	2,109 "," 	2,060 "," 	2,011 "," 	2,062 "," 	2,053 "," 	2,089 "," 	2,162 "," 	2,459 "," 	2,620 "," 	2,959 "," 	3,280 "," 	3,703 "," 	4,269 "," 	4,675 "," 	4,866 "," 	5,370 "," 	5,285 "," 	5,311 "," 	4,979 "," 	4,868 "," 	4,643 "," 	4,602 "," 	4,393 "," 	4,165 "," 	4,017 "," 	3,835 "," 	3,744 "," 	3,527 "," 	3,432 "," 	3,354 "," 	3,316 "," 	3,145 "," 	3,270 "," 	3,506 "," 	3,467 "," 	3,836 "," 	3,172 "," 	3,298 "," 	2,860 "," 	2,441 "," 	2,094 "," 	2,168 "," 	2,136 "," 	1,935 "," 	1,843 "," 	1,759 "," 	1,588 "," 	1,571 "," 	1,674 "," 	1,771 "," 	1,867 "," 	1,831 "," 	1,767 "," 	1,761 "," 	1,681 "," 	1,794 "," 	1,707 "," 	1,868 "," 	1,829 "," 	1,807 "," 	1,762 "," 	1,747 "," 	1,427 "," 	1,359 "," 	1,311 "," 	1,134 "," 	1,054 "," 	1,025 ", 	882 , 	785 , 	697 , 	554 , 	529 , 	382 , 	312 , 	261 , 	190 , 	160 , 	154 , 	99 , 	76 , 	32 , 	24 , 	24 , 	17 , 	9 , 	22 
   Kvinner," 	253,084 "," 	3,521 "," 	3,319 "," 	3,254 "," 	3,161 "," 	3,036 "," 	3,008 "," 	2,622 "," 	2,489 "," 	2,313 "," 	2,118 "," 	2,099 "," 	1,943 "," 	2,066 "," 	1,934 "," 	1,912 "," 	2,008 "," 	1,898 "," 	1,861 "," 	2,083 "," 	2,250 "," 	2,767 "," 	2,926 "," 	3,525 "," 	4,002 "," 	4,342 "," 	5,013 "," 	5,258 "," 	5,331 "," 	5,602 "," 	5,283 "," 	5,254 "," 	4,845 "," 	4,648 "," 	4,353 "," 	4,192 "," 	3,916 "," 	3,963 "," 	3,760 "," 	3,627 "," 	3,431 "," 	3,390 "," 	3,264 "," 	3,202 "," 	3,062 "," 	3,097 "," 	3,109 "," 	3,172 "," 	3,399 "," 	3,558 "," 	3,225 "," 	3,108 "," 	2,737 "," 	2,450 "," 	2,046 "," 	2,257 "," 	2,199 "," 	2,050 "," 	2,057 "," 	1,900 "," 	1,895 "," 	1,861 "," 	1,879 "," 	1,970 "," 	2,118 "," 	2,281 "," 	2,157 "," 	2,150 "," 	2,040 "," 	2,319 "," 	2,397 "," 	2,483 "," 	2,554 "," 	2,613 "," 	2,641 "," 	2,912 "," 	2,324 "," 	2,420 "," 	2,332 "," 	2,196 "," 	2,133 "," 	2,069 "," 	2,047 "," 	1,793 "," 	1,662 "," 	1,554 "," 	1,456 "," 	1,227 "," 	1,097 ", 	875 , 	769 , 	625 , 	538 , 	443 , 	334 , 	244 , 	150 , 	101 , 	74 , 	58 , 	78 
2000 i alt," 	507,467 "," 	7,456 "," 	6,919 "," 	6,547 "," 	6,370 "," 	6,110 "," 	5,769 "," 	5,583 "," 	5,522 "," 	5,564 "," 	5,529 "," 	5,383 "," 	5,058 "," 	4,800 "," 	4,600 "," 	4,323 "," 	4,215 "," 	4,097 "," 	4,351 "," 	4,334 "," 	4,627 "," 	5,078 "," 	5,465 "," 	5,912 "," 	6,857 "," 	7,957 "," 	9,542 "," 	10,388 "," 	11,627 "," 	11,769 "," 	11,468 "," 	11,425 "," 	10,909 "," 	10,319 "," 	10,148 "," 	9,606 "," 	9,444 "," 	8,689 "," 	8,338 "," 	7,958 "," 	7,974 "," 	7,571 "," 	7,496 "," 	7,272 "," 	7,034 "," 	6,792 "," 	6,642 "," 	6,519 "," 	6,459 "," 	6,237 "," 	6,236 "," 	6,289 "," 	6,536 "," 	6,745 "," 	7,246 "," 	6,246 "," 	6,185 "," 	5,411 "," 	4,746 "," 	3,977 "," 	4,223 "," 	4,080 "," 	3,788 "," 	3,625 "," 	3,367 "," 	3,220 "," 	3,088 "," 	3,196 "," 	3,390 "," 	3,515 "," 	3,649 "," 	3,462 "," 	3,379 "," 	3,249 "," 	3,544 "," 	3,498 "," 	3,626 "," 	3,605 "," 	3,585 "," 	3,490 "," 	3,627 "," 	2,874 "," 	2,767 "," 	2,585 "," 	2,299 "," 	2,089 "," 	1,936 "," 	1,786 "," 	1,491 "," 	1,245 "," 	1,068 ", 	890 , 	684 , 	527 , 	388 , 	289 , 	214 , 	169 , 	99 , 	69 , 	123 
   Menn," 	245,112 "," 	3,869 "," 	3,538 "," 	3,332 "," 	3,252 "," 	3,203 "," 	2,981 "," 	2,851 "," 	2,818 "," 	2,854 "," 	2,812 "," 	2,678 "," 	2,602 "," 	2,423 "," 	2,350 "," 	2,245 "," 	2,127 "," 	2,118 "," 	2,203 "," 	2,240 "," 	2,238 "," 	2,394 "," 	2,603 "," 	2,802 "," 	3,150 "," 	3,705 "," 	4,382 "," 	4,982 "," 	5,633 "," 	5,780 "," 	5,711 "," 	5,767 "," 	5,634 "," 	5,279 "," 	5,272 "," 	4,992 "," 	4,926 "," 	4,510 "," 	4,371 "," 	4,151 "," 	4,159 "," 	3,966 "," 	3,835 "," 	3,699 "," 	3,544 "," 	3,504 "," 	3,325 "," 	3,294 "," 	3,241 "," 	3,187 "," 	3,100 "," 	3,190 "," 	3,351 "," 	3,390 "," 	3,714 "," 	3,073 "," 	3,168 "," 	2,727 "," 	2,348 "," 	1,985 "," 	2,050 "," 	1,970 "," 	1,811 "," 	1,694 "," 	1,582 "," 	1,425 "," 	1,376 "," 	1,471 "," 	1,562 "," 	1,580 "," 	1,552 "," 	1,498 "," 	1,467 "," 	1,409 "," 	1,476 "," 	1,386 "," 	1,444 "," 	1,394 "," 	1,343 "," 	1,260 "," 	1,242 ", 	974 , 	883 , 	811 , 	688 , 	583 , 	549 , 	459 , 	381 , 	307 , 	245 , 	190 , 	134 , 	91 , 	73 , 	40 , 	32 , 	41 , 	20 , 	20 , 	21 
   Kvinner," 	262,355 "," 	3,587 "," 	3,381 "," 	3,215 "," 	3,118 "," 	2,907 "," 	2,788 "," 	2,732 "," 	2,704 "," 	2,710 "," 	2,717 "," 	2,705 "," 	2,456 "," 	2,377 "," 	2,250 "," 	2,078 "," 	2,088 "," 	1,979 "," 	2,148 "," 	2,094 "," 	2,389 "," 	2,684 "," 	2,862 "," 	3,110 "," 	3,707 "," 	4,252 "," 	5,160 "," 	5,406 "," 	5,994 "," 	5,989 "," 	5,757 "," 	5,658 "," 	5,275 "," 	5,040 "," 	4,876 "," 	4,614 "," 	4,518 "," 	4,179 "," 	3,967 "," 	3,807 "," 	3,815 "," 	3,605 "," 	3,661 "," 	3,573 "," 	3,490 "," 	3,288 "," 	3,317 "," 	3,225 "," 	3,218 "," 	3,050 "," 	3,136 "," 	3,099 "," 	3,185 "," 	3,355 "," 	3,532 "," 	3,173 "," 	3,017 "," 	2,684 "," 	2,398 "," 	1,992 "," 	2,173 "," 	2,110 "," 	1,977 "," 	1,931 "," 	1,785 "," 	1,795 "," 	1,712 "," 	1,725 "," 	1,828 "," 	1,935 "," 	2,097 "," 	1,964 "," 	1,912 "," 	1,840 "," 	2,068 "," 	2,112 "," 	2,182 "," 	2,211 "," 	2,242 "," 	2,230 "," 	2,385 "," 	1,900 "," 	1,884 "," 	1,774 "," 	1,611 "," 	1,506 "," 	1,387 "," 	1,327 "," 	1,110 ", 	938 , 	823 , 	700 , 	550 , 	436 , 	315 , 	249 , 	182 , 	128 , 	79 , 	49 , 	102 
2005 i alt," 	529,846 "," 	8,420 "," 	7,671 "," 	7,007 "," 	6,436 "," 	6,332 "," 	5,961 "," 	5,673 "," 	5,601 "," 	5,523 "," 	5,503 "," 	5,280 "," 	5,225 "," 	5,298 "," 	5,198 "," 	5,291 "," 	5,201 "," 	5,038 "," 	4,868 "," 	4,855 "," 	4,965 "," 	5,377 "," 	5,656 "," 	6,407 "," 	6,929 "," 	7,780 "," 	8,896 "," 	9,886 "," 	10,511 "," 	11,617 "," 	12,078 "," 	12,413 "," 	11,800 "," 	11,723 "," 	11,028 "," 	10,424 "," 	10,081 "," 	9,483 "," 	8,958 "," 	8,948 "," 	8,510 "," 	8,324 "," 	7,865 "," 	7,599 "," 	7,307 "," 	7,329 "," 	7,112 "," 	7,038 "," 	6,920 "," 	6,738 "," 	6,509 "," 	6,390 "," 	6,234 "," 	6,191 "," 	5,984 "," 	5,949 "," 	6,034 "," 	6,154 "," 	6,377 "," 	6,757 "," 	5,866 "," 	5,789 "," 	4,953 "," 	4,340 "," 	3,567 "," 	3,848 "," 	3,654 "," 	3,372 "," 	3,150 "," 	2,897 "," 	2,818 "," 	2,674 "," 	2,747 "," 	2,948 "," 	3,013 "," 	3,097 "," 	2,841 "," 	2,827 "," 	2,608 "," 	2,851 "," 	2,768 "," 	2,825 "," 	2,680 "," 	2,634 "," 	2,489 "," 	2,479 "," 	1,885 "," 	1,792 "," 	1,496 "," 	1,267 "," 	1,103 ", 	924 , 	808 , 	618 , 	423 , 	351 , 	261 , 	180 , 	118 , 	82 , 	141 
   Menn," 	258,398 "," 	4,303 "," 	3,937 "," 	3,536 "," 	3,274 "," 	3,198 "," 	3,110 "," 	2,944 "," 	2,850 "," 	2,802 "," 	2,878 "," 	2,772 "," 	2,665 "," 	2,699 "," 	2,640 "," 	2,695 "," 	2,583 "," 	2,582 "," 	2,454 "," 	2,466 "," 	2,487 "," 	2,549 "," 	2,772 "," 	2,984 "," 	3,253 "," 	3,558 "," 	3,980 "," 	4,598 "," 	5,059 "," 	5,663 "," 	6,015 "," 	6,160 "," 	6,059 "," 	6,015 "," 	5,684 "," 	5,506 "," 	5,267 "," 	5,028 "," 	4,659 "," 	4,754 "," 	4,459 "," 	4,313 "," 	4,079 "," 	3,973 "," 	3,774 "," 	3,813 "," 	3,659 "," 	3,525 "," 	3,463 "," 	3,399 "," 	3,317 "," 	3,169 "," 	3,103 "," 	3,045 "," 	3,021 "," 	2,921 "," 	3,018 "," 	3,114 "," 	3,164 "," 	3,435 "," 	2,862 "," 	2,934 "," 	2,478 "," 	2,115 "," 	1,768 "," 	1,844 "," 	1,715 "," 	1,571 "," 	1,434 "," 	1,320 "," 	1,190 "," 	1,138 "," 	1,193 "," 	1,288 "," 	1,293 "," 	1,250 "," 	1,157 "," 	1,156 "," 	1,078 "," 	1,111 "," 	1,000 "," 	1,025 ", 	934 , 	911 , 	817 , 	773 , 	556 , 	514 , 	395 , 	318 , 	252 , 	232 , 	176 , 	147 , 	76 , 	47 , 	52 , 	29 , 	18 , 	7 , 	22 
   Kvinner," 	271,448 "," 	4,117 "," 	3,734 "," 	3,471 "," 	3,162 "," 	3,134 "," 	2,851 "," 	2,729 "," 	2,751 "," 	2,721 "," 	2,625 "," 	2,508 "," 	2,560 "," 	2,599 "," 	2,558 "," 	2,596 "," 	2,618 "," 	2,456 "," 	2,414 "," 	2,389 "," 	2,478 "," 	2,828 "," 	2,884 "," 	3,423 "," 	3,676 "," 	4,222 "," 	4,916 "," 	5,288 "," 	5,452 "," 	5,954 "," 	6,063 "," 	6,253 "," 	5,741 "," 	5,708 "," 	5,344 "," 	4,918 "," 	4,814 "," 	4,455 "," 	4,299 "," 	4,194 "," 	4,051 "," 	4,011 "," 	3,786 "," 	3,626 "," 	3,533 "," 	3,516 "," 	3,453 "," 	3,513 "," 	3,457 "," 	3,339 "," 	3,192 "," 	3,221 "," 	3,131 "," 	3,146 "," 	2,963 "," 	3,028 "," 	3,016 "," 	3,040 "," 	3,213 "," 	3,322 "," 	3,004 "," 	2,855 "," 	2,475 "," 	2,225 "," 	1,799 "," 	2,004 "," 	1,939 "," 	1,801 "," 	1,716 "," 	1,577 "," 	1,628 "," 	1,536 "," 	1,554 "," 	1,660 "," 	1,720 "," 	1,847 "," 	1,684 "," 	1,671 "," 	1,530 "," 	1,740 "," 	1,768 "," 	1,800 "," 	1,746 "," 	1,723 "," 	1,672 "," 	1,706 "," 	1,329 "," 	1,278 "," 	1,101 ", 	949 , 	851 , 	692 , 	632 , 	471 , 	347 , 	304 , 	209 , 	151 , 	100 , 	75 , 	119 
2010 i alt," 	586,860 "," 	9,968 "," 	9,182 "," 	8,348 "," 	7,820 "," 	7,288 "," 	6,866 "," 	6,491 "," 	6,021 "," 	5,797 "," 	5,899 "," 	5,652 "," 	5,587 "," 	5,499 "," 	5,501 "," 	5,565 "," 	5,278 "," 	5,368 "," 	5,524 "," 	5,597 "," 	6,282 "," 	6,864 "," 	7,522 "," 	7,903 "," 	8,547 "," 	9,270 "," 	10,510 "," 	11,401 "," 	12,475 "," 	12,914 "," 	13,177 "," 	13,181 "," 	12,728 "," 	11,790 "," 	11,718 "," 	11,413 "," 	11,370 "," 	10,526 "," 	10,436 "," 	10,013 "," 	9,489 "," 	9,343 "," 	8,855 "," 	8,516 "," 	8,525 "," 	8,284 "," 	8,137 "," 	7,783 "," 	7,470 "," 	7,194 "," 	7,301 "," 	7,067 "," 	7,060 "," 	6,824 "," 	6,607 "," 	6,392 "," 	6,272 "," 	6,046 "," 	6,033 "," 	5,787 "," 	5,719 "," 	5,756 "," 	5,836 "," 	5,902 "," 	6,281 "," 	5,438 "," 	5,300 "," 	4,550 "," 	3,879 "," 	3,148 "," 	3,416 "," 	3,232 "," 	3,002 "," 	2,798 "," 	2,566 "," 	2,476 "," 	2,308 "," 	2,364 "," 	2,491 "," 	2,522 "," 	2,527 "," 	2,247 "," 	2,214 "," 	1,989 "," 	2,108 "," 	1,955 "," 	1,968 "," 	1,738 "," 	1,641 "," 	1,427 "," 	1,389 "," 	1,002 ", 	871 , 	638 , 	482 , 	411 , 	309 , 	237 , 	157 , 	91 , 	199 
